1395959858106,50.0,53.0,500.0,500.0,61.0,500.0,500.0,53.0
1395959860164,50.0,71.0,500.0,500.0,63.0,500.0,500.0,52.0
1395959862107,50.0,71.0,500.0,500.0,63.0,500.0,500.0,52.0
1395959864161,50.0,58.0,500.0,500.0,63.0,500.0,500.0,53.0
1395959866160,52.0,58.0,500.0,500.0,500.0,500.0,500.0,53.0
1395959868190,50.0,56.0,54.0,59.0,68.0,500.0,500.0,64.0
1395959870190,50.0,53.0,61.0,87.0,65.0,500.0,500.0,53.0
1395959872177,50.0,53.0,61.0,87.0,65.0,500.0,500.0,53.0
1395959874187,66.0,54.0,63.0,87.0,62.0,500.0,500.0,57.0
1395959876169,51.0,96.0,63.0,87.0,67.0,500.0,500.0,54.0
1395959878166,47.0,56.0,62.0,87.0,67.0,500.0,500.0,54.0
1395959880189,47.0,56.0,62.0,500.0,67.0,500.0,500.0,54.0
1395959882188,47.0,61.0,62.0,500.0,66.0,500.0,500.0,56.0
1395959884133,51.0,52.0,66.0,69.0,65.0,500.0,500.0,54.0
1395959886217,51.0,54.0,66.0,69.0,61.0,500.0,500.0,54.0
1395959888178,62.0,54.0,66.0,69.0,62.0,500.0,500.0,55.0
1395959890199,49.0,57.0,500.0,70.0,63.0,500.0,500.0,55.0
1395959892216,50.0,58.0,500.0,70.0,63.0,500.0,500.0,55.0
1395959894179,61.0,60.0,500.0,70.0,63.0,500.0,500.0,53.0
1395959896226,56.0,84.0,500.0,63.0,63.0,500.0,500.0,54.0
1395959898201,51.0,52.0,500.0,67.0,57.0,500.0,500.0,53.0
1395959900177,48.0,55.0,58.0,67.0,59.0,500.0,500.0,48.0
1395959902158,53.0,48.0,66.0,67.0,58.0,500.0,500.0,49.0
1395959904189,53.0,55.0,56.0,500.0,58.0,500.0,500.0,53.0
1395959906190,53.0,55.0,56.0,500.0,58.0,500.0,500.0,50.0
1395959908177,500.0,55.0,56.0,500.0,58.0,500.0,500.0,51.0
1395959910216,53.0,53.0,500.0,500.0,59.0,500.0,500.0,50.0
1395959912204,46.0,79.0,500.0,500.0,65.0,500.0,500.0,50.0
1395959914184,51.0,59.0,500.0,500.0,65.0,500.0,500.0,50.0
1395959916187,48.0,48.0,500.0,500.0,63.0,500.0,500.0,53.0
1395959918241,48.0,52.0,52.0,500.0,63.0,500.0,500.0,50.0
